split,trial_id,skipped,mask_file,image_size,chosen_max_dim_px,rotation_deg,dx,dy,obj_munsell,resample_attempts_total,resample_attempts_tint,resample_attempts_object,initial_path,candT_path,candF_path,tint_lab,bg_lab_pre,obj_lab_pre,obj_lab_post_init,bg_lab_post_init,obj_rgb_pre,bg_rgb_pre,tint_rgb,obj_rgb_post_init,bg_rgb_post_init,candT_obj_rgb,candF_obj_rgb,cand_bg_rgb,initial_obj_pre_wavelength_nm,initial_obj_post_wavelength_nm,candT_obj_pre_wavelength_nm,candF_obj_pre_wavelength_nm,background_wavelength_nm
train,52,0,apple2.png,512x512,365,-15.3955524546,1,-8,7.5R 4/4,3,1,3,train/trial_000052/initial.png,train/trial_000052/candT.png,train/trial_000052/candF.png,"[60.0, -11.40515, 12.97684]","[60.0, 0.0, 0.0]","[40.7365, 20.42843, 8.78479]","[39.91138, 12.20746, 16.05549]","[60.00109, -11.40658, 12.97766]","[132, 83, 83]","[145, 145, 145]","[133, 150, 121]","[121, 86, 69]","[133, 150, 121]","[132, 83, 83]","[121, 86, 69]","[145, 145, 145]",,,,,
train,53,0,apple3.png,512x512,438,2.55119444941,-11,10,5B 6/6,1,1,1,train/trial_000053/initial.png,train/trial_000053/candT.png,train/trial_000053/candF.png,"[60.0, -14.50111, 7.82996]","[60.0, 0.0, 0.0]","[61.0465, -14.4334, -22.86206]","[62.22693, -26.27329, -11.02738]","[60.00107, -14.50228, 7.8308]","[81, 156, 187]","[145, 145, 145]","[123, 152, 130]","[68, 164, 169]","[123, 152, 130]","[81, 156, 187]","[68, 164, 169]","[145, 145, 145]",,,,,
train,54,0,apple1.png,512x512,363,-6.23092281283,2,-4,7.5BG 3/4,1,1,1,train/trial_000054/initial.png,train/trial_000054/candT.png,train/trial_000054/candF.png,"[60.0, -14.91872, -18.98269]","[60.0, 0.0, 0.0]","[30.37867, -15.41348, -9.814]","[32.84197, -12.21348, -19.18164]","[60.00095, -14.91881, -18.98177]","[21, 79, 86]","[145, 145, 145]","[85, 154, 177]","[8, 84, 107]","[85, 154, 177]","[21, 79, 86]","[8, 84, 107]","[145, 145, 145]",,,,,
train,55,0,apple2.png,512x512,378,-1.66175304927,-9,-12,10P 8/6,1,1,1,train/trial_000055/initial.png,train/trial_000055/candT.png,train/trial_000055/candF.png,"[60.0, -5.60792, 2.90405]","[60.0, 0.0, 0.0]","[80.52685, 25.44755, -14.49337]","[79.93012, 17.7563, -11.21348]","[60.00108, -5.60926, 2.90499]","[235, 184, 227]","[145, 145, 145]","[136, 147, 139]","[222, 188, 219]","[136, 147, 139]","[235, 184, 227]","[222, 188, 219]","[145, 145, 145]",,,,,
train,56,0,apple1.png,512x512,454,-17.2069568115,-7,4,5P 2/6,2,1,2,train/trial_000056/initial.png,train/trial_000056/candT.png,train/trial_000056/candF.png,"[60.0, 0.74362, -6.12773]","[60.0, 0.0, 0.0]","[20.23558, 22.813, -20.90979]","[20.35083, 23.81414, -24.98542]","[60.00106, 0.74238, -6.1267]","[66, 37, 80]","[145, 145, 145]","[141, 145, 155]","[64, 37, 86]","[141, 145, 155]","[66, 37, 80]","[64, 37, 86]","[145, 145, 145]",,,,,
train,57,0,apple1.png,512x512,387,33.0398835508,-9,-8,5RP 7/10,1,2,1,train/trial_000057/initial.png,train/trial_000057/candT.png,train/trial_000057/candF.png,"[60.0, 10.26974, -18.98003]","[60.0, 0.0, 0.0]","[70.86085, 44.05711, -6.91389]","[71.76629, 53.71709, -28.94431]","[60.00104, 10.26867, -18.97892]","[243, 142, 187]","[145, 145, 145]","[146, 140, 178]","[246, 137, 230]","[146, 140, 178]","[243, 142, 187]","[246, 137, 230]","[145, 145, 145]",,,,,
train,58,0,apple1.png,512x512,424,56.4387811415,11,-7,5P 7/4,1,1,1,train/trial_000058/initial.png,train/trial_000058/candT.png,train/trial_000058/candF.png,"[60.0, 8.71936, 0.40045]","[60.0, 0.0, 0.0]","[70.86085, 14.21476, -15.72681]","[71.27812, 24.07793, -14.60771]","[60.00112, 8.7176, 0.40153]","[186, 166, 202]","[145, 145, 145]","[160, 139, 144]","[206, 160, 202]","[160, 139, 144]","[186, 166, 202]","[206, 160, 202]","[145, 145, 145]",,,,,
train,59,0,apple3.png,512x512,366,52.6176577037,-12,2,5RP 7/4,2,1,2,train/trial_000059/initial.png,train/trial_000059/candT.png,train/trial_000059/candF.png,"[60.0, 10.31895, 2.04783]","[60.0, 0.0, 0.0]","[70.86085, 18.56191, -4.88781]","[71.9548, 31.34199, -0.74533]","[60.00113, 10.31708, 2.04891]","[203, 162, 183]","[145, 145, 145]","[164, 138, 141]","[230, 155, 179]","[164, 138, 141]","[203, 162, 183]","[230, 155, 179]","[145, 145, 145]",,,,,
train,60,0,apple2.png,512x512,396,-12.4014934228,-10,11,7.5GY 9/6,1,2,1,train/trial_000060/initial.png,train/trial_000060/candT.png,train/trial_000060/candF.png,"[60.0, -1.09151, -17.45117]","[60.0, 0.0, 0.0]","[90.18132, -22.84247, 31.55779]","[90.01479, -28.0299, 13.38893]","[60.00101, -1.09221, -17.45015]","[205, 238, 166]","[145, 145, 145]","[124, 147, 175]","[177, 241, 200]","[124, 147, 175]","[205, 238, 166]","[177, 241, 200]","[145, 145, 145]",,,,,
train,61,0,apple1.png,512x512,400,9.96441899422,5,5,10PB 2/4,1,1,1,train/trial_000061/initial.png,train/trial_000061/candT.png,train/trial_000061/candF.png,"[60.0, 4.74238, -9.97551]","[60.0, 0.0, 0.0]","[20.23558, 12.74306, -19.08166]","[20.63524, 16.35062, -25.16943]","[60.00106, 4.74114, -9.97445]","[53, 44, 77]","[145, 145, 145]","[145, 143, 162]","[53, 43, 87]","[145, 143, 162]","[53, 44, 77]","[53, 43, 87]","[145, 145, 145]",,,,,
train,62,0,apple1.png,512x512,387,4.07864264049,-8,9,5Y 6/6,1,1,1,train/trial_000062/initial.png,train/trial_000062/candT.png,train/trial_000062/candF.png,"[60.0, 12.77737, 12.79843]","[60.0, 0.0, 0.0]","[61.0465, 1.30128, 40.88696]","[62.66426, 20.46431, 49.64675]","[60.00118, 12.77509, 12.79946]","[172, 144, 74]","[145, 145, 145]","[175, 136, 123]","[207, 136, 62]","[175, 136, 123]","[172, 144, 74]","[207, 136, 62]","[145, 145, 145]",,,,,
train,63,0,apple2.png,512x512,397,-16.4573793069,-2,-7,5P 3/10,1,1,1,train/trial_000063/initial.png,train/trial_000063/candT.png,train/trial_000063/candF.png,"[60.0, -2.56347, 6.85912]","[60.0, 0.0, 0.0]","[30.37867, 39.07817, -34.97595]","[29.87121, 36.62762, -29.04271]","[60.00111, -2.56504, 6.86006]","[103, 47, 127]","[145, 145, 145]","[145, 146, 133]","[103, 47, 116]","[145, 146, 133]","[103, 47, 127]","[103, 47, 116]","[145, 145, 145]",,,,,
train,64,0,apple1.png,512x512,418,59.0082209506,4,-3,2.5PB 3/4,1,1,1,train/trial_000064/initial.png,train/trial_000064/candT.png,train/trial_000064/candF.png,"[60.0, 17.47626, 18.23976]","[60.0, 0.0, 0.0]","[30.37867, 0.75953, -21.06945]","[28.4849, 3.13617, -8.99228]","[60.00121, 17.47368, 18.24078]","[49, 73, 104]","[145, 145, 145]","[185, 133, 113]","[65, 66, 81]","[185, 133, 113]","[49, 73, 104]","[65, 66, 81]","[145, 145, 145]",,,,,
train,65,0,apple3.png,512x512,412,-31.3166542127,-1,10,5RP 6/4,1,1,1,train/trial_000065/initial.png,train/trial_000065/candT.png,train/trial_000065/candF.png,"[60.0, 9.61278, 2.48728]","[60.0, 0.0, 0.0]","[61.0465, 19.02001, -4.70523]","[62.11993, 29.71707, -0.38773]","[60.00113, 9.61091, 2.48835]","[177, 136, 156]","[145, 145, 145]","[163, 139, 141]","[200, 130, 152]","[163, 139, 141]","[177, 136, 156]","[200, 130, 152]","[145, 145, 145]",,,,,
train,66,0,apple1.png,512x512,405,53.5151175336,5,-11,5BG 4/4,1,1,1,train/trial_000066/initial.png,train/trial_000066/candT.png,train/trial_000066/candF.png,"[60.0, -7.02805, -0.40168]","[60.0, 0.0, 0.0]","[40.7365, -16.83939, -6.65337]","[41.44845, -19.6281, -5.8384]","[60.00106, -7.02922, -0.40073]","[51, 104, 106]","[145, 145, 145]","[131, 148, 145]","[46, 107, 107]","[131, 148, 145]","[51, 104, 106]","[46, 107, 107]","[145, 145, 145]",,,,,
train,67,0,apple3.png,512x512,422,30.5713128437,-12,1,7.5B 7/4,2,1,2,train/trial_000067/initial.png,train/trial_000067/candT.png,train/trial_000067/candF.png,"[60.0, 5.88236, 18.58693]","[60.0, 0.0, 0.0]","[70.86085, -5.97069, -17.26349]","[69.56173, -5.45881, 5.45301]","[60.00117, 5.88016, 18.58783]","[142, 178, 204]","[145, 145, 145]","[167, 140, 112]","[164, 173, 160]","[167, 140, 112]","[142, 178, 204]","[164, 173, 160]","[145, 145, 145]",,,,,
train,68,0,apple2.png,512x512,452,27.6491509111,-10,10,5YR 4/2,1,1,1,train/trial_000068/initial.png,train/trial_000068/candT.png,train/trial_000068/candF.png,"[60.0, 0.15868, -3.85914]","[60.0, 0.0, 0.0]","[40.7365, 9.11326, 7.94861]","[40.61002, 8.66938, 5.19492]","[60.00107, 0.15738, -3.85813]","[116, 90, 83]","[145, 145, 145]","[142, 145, 151]","[113, 91, 88]","[142, 145, 151]","[116, 90, 83]","[113, 91, 88]","[145, 145, 145]",,,,,
train,69,0,apple3.png,512x512,446,3.48909156049,5,-8,7.5YR 6/4,1,1,1,train/trial_000069/initial.png,train/trial_000069/candT.png,train/trial_000069/candF.png,"[60.0, -11.22949, -11.9236]","[60.0, 0.0, 0.0]","[61.0465, 11.96745, 19.22933]","[59.09832, -6.75883, 6.54102]","[60.001, -11.23004, -11.92266]","[180, 139, 114]","[145, 145, 145]","[108, 151, 165]","[135, 145, 131]","[108, 151, 165]","[180, 139, 114]","[135, 145, 131]","[145, 145, 145]",,,,,
train,70,0,apple1.png,512x512,460,-3.67690847387,-4,-1,7.5YR 8/4,1,1,1,train/trial_000070/initial.png,train/trial_000070/candT.png,train/trial_000070/candF.png,"[60.0, -12.9728, -10.57536]","[60.0, 0.0, 0.0]","[80.52685, 11.50626, 18.99431]","[78.55468, -12.53786, 4.57147]","[60.001, -12.97334, -10.57443]","[234, 191, 165]","[145, 145, 145]","[105, 152, 163]","[173, 201, 185]","[105, 152, 163]","[234, 191, 165]","[173, 201, 185]","[145, 145, 145]",,,,,
train,71,0,apple2.png,512x512,390,59.0248763846,-2,3,2.5RP 8/2,2,2,2,train/trial_000071/initial.png,train/trial_000071/candT.png,train/trial_000071/candF.png,"[60.0, -11.79475, 6.35954]","[60.0, 0.0, 0.0]","[80.52685, 9.55023, -5.86907]","[80.08816, -6.10705, 2.01004]","[60.00107, -11.79597, 6.36041]","[213, 194, 211]","[145, 145, 145]","[127, 150, 133]","[188, 202, 195]","[127, 150, 133]","[213, 194, 211]","[188, 202, 195]","[145, 145, 145]",,,,,
train,72,0,apple3.png,512x512,405,-11.3423202502,-5,-4,7.5P 9/4,1,3,1,train/trial_000072/initial.png,train/trial_000072/candT.png,train/trial_000072/candF.png,"[60.0, -13.50911, 5.50165]","[60.0, 0.0, 0.0]","[90.18132, 17.6258, -13.6245]","[89.26779, -2.47678, -6.40697]","[60.00106, -13.51023, 5.50251]","[249, 217, 253]","[145, 145, 145]","[123, 151, 135]","[213, 226, 236]","[123, 151, 135]","[249, 217, 253]","[213, 226, 236]","[145, 145, 145]",,,,,
train,73,0,apple3.png,512x512,419,-21.6548341997,9,-5,5YR 6/2,1,1,1,train/trial_000073/initial.png,train/trial_000073/candT.png,train/trial_000073/candF.png,"[60.0, -18.886, -5.87074]","[60.0, 0.0, 0.0]","[61.0465, 9.01116, 6.59487]","[59.68103, -14.49985, -1.13938]","[60.001, -18.8865, -5.86986]","[168, 142, 136]","[145, 145, 145]","[97, 154, 154]","[113, 151, 145]","[97, 154, 154]","[168, 142, 136]","[113, 151, 145]","[145, 145, 145]",,,,,
train,74,0,apple3.png,512x512,419,-49.6953248298,3,5,5G 6/2,1,1,1,train/trial_000074/initial.png,train/trial_000074/candT.png,train/trial_000074/candF.png,"[60.0, 10.10327, -16.87747]","[60.0, 0.0, 0.0]","[61.0465, -7.98885, 0.6426]","[60.88391, 2.49683, -16.54589]","[60.00105, 10.10212, -16.87636]","[132, 152, 146]","[145, 145, 145]","[148, 140, 174]","[136, 147, 176]","[148, 140, 174]","[132, 152, 146]","[136, 147, 176]","[145, 145, 145]",,,,,
train,75,0,apple1.png,512x512,408,-27.4208309994,-1,6,2.5Y 3/4,1,1,1,train/trial_000075/initial.png,train/trial_000075/candT.png,train/trial_000075/candF.png,"[60.0, -10.38523, -15.64966]","[60.0, 0.0, 0.0]","[30.37867, 5.20484, 23.97933]","[28.82833, -8.66238, 16.54413]","[60.00098, -10.38565, -15.6487]","[90, 68, 34]","[145, 145, 145]","[105, 151, 172]","[64, 71, 42]","[105, 151, 172]","[90, 68, 34]","[64, 71, 42]","[145, 145, 145]",,,,,
train,76,0,apple3.png,512x512,400,12.2549022136,3,1,10P 2/10,1,1,1,train/trial_000076/initial.png,train/trial_000076/candT.png,train/trial_000076/candF.png,"[60.0, -6.32504, -12.94565]","[60.0, 0.0, 0.0]","[20.23558, 42.17269, -25.88236]","[18.30242, 41.44967, -38.67703]","[60.00101, -6.32574, -12.94467]","[88, 12, 87]","[145, 145, 145]","[118, 149, 167]","[71, 12, 102]","[118, 149, 167]","[88, 12, 87]","[71, 12, 102]","[145, 145, 145]",,,,,
train,77,0,apple2.png,512x512,414,-21.2180513084,7,-1,7.5BG 6/4,1,1,1,train/trial_000077/initial.png,train/trial_000077/candT.png,train/trial_000077/candF.png,"[60.0, 8.51181, -0.75177]","[60.0, 0.0, 0.0]","[61.0465, -15.72803, -9.28865]","[60.17042, -9.28829, -11.5416]","[60.00112, 8.5101, -0.75069]","[103, 156, 163]","[145, 145, 145]","[159, 140, 146]","[114, 151, 165]","[159, 140, 146]","[103, 156, 163]","[114, 151, 165]","[145, 145, 145]",,,,,
train,78,0,apple3.png,512x512,433,56.6914463591,-1,3,7.5PB 8/2,1,1,1,train/trial_000078/initial.png,train/trial_000078/candT.png,train/trial_000078/candF.png,"[60.0, -12.29958, -0.90132]","[60.0, 0.0, 0.0]","[80.52685, 5.66105, -10.39763]","[80.42503, -9.53878, -11.74656]","[60.00105, -12.30053, -0.90041]","[201, 197, 219]","[145, 145, 145]","[119, 151, 146]","[167, 206, 221]","[119, 151, 146]","[201, 197, 219]","[167, 206, 221]","[145, 145, 145]",,,,,
train,79,0,apple2.png,512x512,450,-22.0052058166,0,12,7.5Y 3/2,1,1,1,train/trial_000079/initial.png,train/trial_000079/candT.png,train/trial_000079/candF.png,"[60.0, -5.65911, -12.46465]","[60.0, 0.0, 0.0]","[30.37867, -0.03383, 11.05523]","[29.99127, -5.7658, 4.37182]","[60.00101, -5.65986, -12.46367]","[78, 71, 54]","[145, 145, 145]","[120, 149, 166]","[64, 73, 64]","[120, 149, 166]","[78, 71, 54]","[64, 73, 64]","[145, 145, 145]",,,,,
train,80,0,apple3.png,512x512,417,12.8163317845,-9,0,5G 6/4,1,1,1,train/trial_000080/initial.png,train/trial_000080/candT.png,train/trial_000080/candF.png,"[60.0, 19.91465, -0.75953]","[60.0, 0.0, 0.0]","[61.0465, -18.83019, 4.42254]","[59.10612, -1.90178, 0.74893]","[60.00116, 19.91253, -0.75835]","[112, 157, 139]","[145, 145, 145]","[178, 132, 147]","[139, 143, 141]","[178, 132, 147]","[112, 157, 139]","[139, 143, 141]","[145, 145, 145]",,,,,
train,81,0,apple3.png,512x512,394,37.193367978,-7,6,10P 5/6,1,1,1,train/trial_000081/initial.png,train/trial_000081/candT.png,train/trial_000081/candF.png,"[60.0, -18.42224, -18.12783]","[60.0, 0.0, 0.0]","[51.00375, 26.18128, -14.95722]","[48.25965, 7.48501, -38.26872]","[60.00095, -18.42223, -18.12694]","[154, 106, 147]","[145, 145, 145]","[75, 155, 176]","[80, 114, 179]","[75, 155, 176]","[154, 106, 147]","[80, 114, 179]","[145, 145, 145]",,,,,
train,82,0,apple3.png,512x512,423,-22.1826890877,4,6,2.5Y 5/8,1,1,1,train/trial_000082/initial.png,train/trial_000082/candT.png,train/trial_000082/candF.png,"[60.0, -12.31725, -10.63841]","[60.0, 0.0, 0.0]","[51.00375, 8.3775, 52.73636]","[48.58046, -13.67729, 47.76767]","[60.001, -12.31781, -10.63748]","[156, 114, 21]","[145, 145, 145]","[107, 152, 163]","[116, 120, 25]","[107, 152, 163]","[156, 114, 21]","[116, 120, 25]","[145, 145, 145]",,,,,
train,83,0,apple2.png,512x512,380,-55.8669615693,12,-3,7.5G 5/6,1,1,1,train/trial_000083/initial.png,train/trial_000083/candT.png,train/trial_000083/candF.png,"[60.0, 8.91701, 6.81648]","[60.0, 0.0, 0.0]","[51.00375, -28.28773, 3.70319]","[49.44113, -25.50254, 6.96459]","[60.00114, 8.91504, 6.81752]","[60, 134, 114]","[145, 145, 145]","[165, 139, 133]","[69, 129, 105]","[165, 139, 133]","[60, 134, 114]","[69, 129, 105]","[145, 145, 145]",,,,,
train,84,0,apple3.png,512x512,429,-11.4758413018,-1,-4,5RP 2/6,1,1,1,train/trial_000084/initial.png,train/trial_000084/candT.png,train/trial_000084/candF.png,"[60.0, -1.32373, 10.56622]","[60.0, 0.0, 0.0]","[20.23558, 27.97025, -9.18828]","[20.45513, 27.73376, -2.59338]","[60.00112, -1.32546, 10.56715]","[81, 30, 63]","[145, 145, 145]","[150, 145, 126]","[84, 30, 54]","[150, 145, 126]","[81, 30, 63]","[84, 30, 54]","[145, 145, 145]",,,,,
train,85,0,apple1.png,512x512,369,37.9676353136,-10,9,10G 8/2,2,1,2,train/trial_000085/initial.png,train/trial_000085/candT.png,train/trial_000085/candF.png,"[60.0, 12.24531, -1.02048]","[60.0, 0.0, 0.0]","[80.52685, -7.80477, -2.49515]","[79.93836, 6.67712, -4.74985]","[60.00113, 12.24347, -1.01936]","[181, 204, 204]","[145, 145, 145]","[165, 137, 147]","[207, 194, 207]","[165, 137, 147]","[181, 204, 204]","[207, 194, 207]","[145, 145, 145]",,,,,
train,86,0,apple1.png,512x512,448,-23.6730696269,-5,10,7.5P 2/8,4,1,4,train/trial_000086/initial.png,train/trial_000086/candT.png,train/trial_000086/candF.png,"[60.0, 15.90587, -0.53584]","[60.0, 0.0, 0.0]","[20.23558, 32.82399, -24.42051]","[22.62344, 38.52191, -21.07931]","[60.00114, 15.90389, -0.53469]","[77, 27, 85]","[145, 145, 145]","[172, 135, 146]","[93, 25, 86]","[172, 135, 146]","[77, 27, 85]","[93, 25, 86]","[145, 145, 145]",,,,,
train,87,0,apple3.png,512x512,368,-23.6713780694,15,2,5Y 5/2,2,1,2,train/trial_000087/initial.png,train/trial_000087/candT.png,train/trial_000087/candF.png,"[60.0, 10.67337, 12.1349]","[60.0, 0.0, 0.0]","[51.00375, 1.65115, 11.48009]","[51.61322, 13.317, 21.54132]","[60.00117, 10.67118, 12.13591]","[132, 120, 102]","[145, 145, 145]","[171, 137, 124]","[156, 114, 87]","[171, 137, 124]","[132, 120, 102]","[156, 114, 87]","[145, 145, 145]",,,,,
train,88,0,apple1.png,512x512,378,-14.9462472544,-5,-1,10GY 8/2,1,1,1,train/trial_000088/initial.png,train/trial_000088/candT.png,train/trial_000088/candF.png,"[60.0, -16.49877, 2.00752]","[60.0, 0.0, 0.0]","[80.52685, -7.15135, 5.27633]","[80.97175, -27.24336, 8.33504]","[60.00104, -16.49966, 2.00838]","[190, 204, 190]","[145, 145, 145]","[113, 153, 141]","[149, 215, 185]","[113, 153, 141]","[190, 204, 190]","[149, 215, 185]","[145, 145, 145]",,,,,
train,89,0,apple1.png,512x512,422,4.87787675966,-6,-5,5GY 9/10,1,1,1,train/trial_000089/initial.png,train/trial_000089/candT.png,train/trial_000089/candF.png,"[60.0, -10.54248, 18.98205]","[60.0, 0.0, 0.0]","[90.18132, -26.40827, 65.02096]","[91.39033, -34.39002, 74.88115]","[60.00112, -10.54412, 18.9828]","[216, 238, 95]","[145, 145, 145]","[139, 149, 111]","[208, 245, 72]","[139, 149, 111]","[216, 238, 95]","[208, 245, 72]","[145, 145, 145]",,,,,
train,90,0,apple2.png,512x512,455,-3.35980718245,4,7,7.5BG 8/6,1,2,1,train/trial_000090/initial.png,train/trial_000090/candT.png,train/trial_000090/candF.png,"[60.0, -5.49227, -11.96336]","[60.0, 0.0, 0.0]","[80.52685, -24.94361, -11.79453]","[82.31314, -23.59905, -25.47688]","[60.00102, -5.49304, -11.96237]","[125, 214, 221]","[145, 145, 145]","[121, 148, 165]","[105, 219, 252]","[121, 148, 165]","[125, 214, 221]","[105, 219, 252]","[145, 145, 145]",,,,,
train,91,0,apple1.png,512x512,416,-30.02992652,0,4,2.5Y 2/4,1,1,1,train/trial_000091/initial.png,train/trial_000091/candT.png,train/trial_000091/candF.png,"[60.0, 6.77323, 15.45225]","[60.0, 0.0, 0.0]","[20.23558, 5.4522, 25.15272]","[21.29219, 12.24505, 28.10178]","[60.00117, 6.77109, 15.45319]","[66, 45, 9]","[145, 145, 145]","[167, 140, 118]","[77, 43, 6]","[167, 140, 118]","[66, 45, 9]","[77, 43, 6]","[145, 145, 145]",,,,,
train,92,0,apple3.png,512x512,431,-27.0975654022,9,-1,7.5Y 6/2,1,1,1,train/trial_000092/initial.png,train/trial_000092/candT.png,train/trial_000092/candF.png,"[60.0, 7.77363, -2.90417]","[60.0, 0.0, 0.0]","[61.0465, 0.27173, 11.78227]","[61.16351, 8.40919, 9.45136]","[60.00111, 7.77202, -2.90309]","[156, 146, 127]","[145, 145, 145]","[156, 140, 150]","[169, 142, 131]","[156, 140, 150]","[156, 146, 127]","[169, 142, 131]","[145, 145, 145]",,,,,
train,93,0,apple3.png,512x512,426,-42.4588073006,-3,5,10P 2/6,1,1,1,train/trial_000093/initial.png,train/trial_000093/candT.png,train/trial_000093/candF.png,"[60.0, 6.32132, -17.61128]","[60.0, 0.0, 0.0]","[20.23558, 25.82714, -16.33599]","[20.70742, 29.32979, -27.02367]","[60.00103, 6.32034, -17.6102]","[74, 33, 73]","[145, 145, 145]","[140, 142, 175]","[71, 33, 90]","[140, 142, 175]","[74, 33, 73]","[71, 33, 90]","[145, 145, 145]",,,,,
train,94,0,apple3.png,512x512,412,21.5511301176,11,-3,5Y 9/6,1,1,1,train/trial_000094/initial.png,train/trial_000094/candT.png,train/trial_000094/candF.png,"[60.0, -1.34303, -15.81172]","[60.0, 0.0, 0.0]","[90.18132, -0.44621, 41.02508]","[88.86991, -10.38138, 24.50152]","[60.00101, -1.3438, -15.8107]","[253, 225, 148]","[145, 145, 145]","[126, 147, 172]","[222, 228, 176]","[126, 147, 172]","[253, 225, 148]","[222, 228, 176]","[145, 145, 145]",,,,,
train,95,0,apple3.png,512x512,388,41.1455141485,3,0,7.5G 9/4,1,1,1,train/trial_000095/initial.png,train/trial_000095/candT.png,train/trial_000095/candF.png,"[60.0, -14.01096, 2.76249]","[60.0, 0.0, 0.0]","[90.18132, -19.73913, 1.83532]","[91.43939, -35.90228, 7.53042]","[60.00105, -14.01197, 2.76337]","[185, 238, 223]","[145, 145, 145]","[119, 152, 139]","[153, 249, 215]","[119, 152, 139]","[185, 238, 223]","[153, 249, 215]","[145, 145, 145]",,,,,
train,96,0,apple2.png,512x512,390,21.8998716145,-3,2,5B 8/2,1,1,1,train/trial_000096/initial.png,train/trial_000096/candT.png,train/trial_000096/candF.png,"[60.0, 17.41531, -3.64862]","[60.0, 0.0, 0.0]","[80.52685, -1.63771, -9.69548]","[80.07175, 19.47638, -15.50811]","[60.00114, 17.41338, -3.64746]","[187, 201, 218]","[145, 145, 145]","[172, 134, 151]","[222, 187, 228]","[172, 134, 151]","[187, 201, 218]","[222, 187, 228]","[145, 145, 145]",,,,,
train,97,0,apple2.png,512x512,402,53.1653022002,-11,-6,10RP 2/8,2,1,2,train/trial_000097/initial.png,train/trial_000097/candT.png,train/trial_000097/candF.png,"[60.0, -6.70595, -6.01712]","[60.0, 0.0, 0.0]","[20.23558, 38.13647, -3.85633]","[17.80647, 34.67353, -10.95922]","[60.00104, -6.70692, -6.01615]","[95, 15, 56]","[145, 145, 145]","[126, 149, 155]","[82, 16, 60]","[126, 149, 155]","[95, 15, 56]","[82, 16, 60]","[145, 145, 145]",,,,,
train,98,0,apple3.png,512x512,458,9.14183000957,-13,-5,10GY 9/8,1,2,1,train/trial_000098/initial.png,train/trial_000098/candT.png,train/trial_000098/candF.png,"[60.0, -11.9711, 4.49666]","[60.0, 0.0, 0.0]","[90.18132, -36.39719, 32.43431]","[91.64543, -49.26297, 38.73204]","[60.00106, -11.97225, 4.49754]","[175, 244, 163]","[145, 145, 145]","[125, 151, 136]","[152, 254, 154]","[125, 151, 136]","[175, 244, 163]","[152, 254, 154]","[145, 145, 145]",,,,,
train,99,0,apple2.png,512x512,435,-57.9521021066,-2,-7,7.5YR 4/8,1,1,1,train/trial_000099/initial.png,train/trial_000099/candT.png,train/trial_000099/candF.png,"[60.0, 11.96221, -12.2229]","[60.0, 0.0, 0.0]","[40.7365, 19.64383, 44.10769]","[41.52953, 26.86279, 43.70714]","[60.00108, 11.9608, -12.22178]","[140, 82, 18]","[145, 145, 145]","[156, 138, 166]","[152, 78, 23]","[156, 138, 166]","[140, 82, 18]","[152, 78, 23]","[145, 145, 145]",,,,,
train,100,0,apple2.png,512x512,433,42.7597329848,-5,4,7.5Y 9/6,1,1,1,train/trial_000100/initial.png,train/trial_000100/candT.png,train/trial_000100/candF.png,"[60.0, -5.00284, -19.46871]","[60.0, 0.0, 0.0]","[90.18132, -4.23304, 41.73871]","[88.56245, -22.37407, 21.47797]","[60.00098, -5.0033, -19.46772]","[247, 227, 146]","[145, 145, 145]","[112, 149, 178]","[194, 233, 181]","[112, 149, 178]","[247, 227, 146]","[194, 233, 181]","[145, 145, 145]",,,,,
train,101,0,apple1.png,512x512,415,-13.0039696888,4,8,10PB 6/4,2,1,2,train/trial_000101/initial.png,train/trial_000101/candT.png,train/trial_000101/candF.png,"[60.0, -10.308, -18.54781]","[60.0, 0.0, 0.0]","[61.0465, 10.36195, -18.11472]","[61.34431, 4.10586, -39.87616]","[60.00097, -10.30829, -18.54686]","[150, 143, 179]","[145, 145, 145]","[100, 151, 177]","[104, 149, 218]","[100, 151, 177]","[150, 143, 179]","[104, 149, 218]","[145, 145, 145]",,,,,
train,102,0,apple1.png,512x512,460,26.5134299116,7,13,10RP 3/2,1,1,1,train/trial_000102/initial.png,train/trial_000102/candT.png,train/trial_000102/candF.png,"[60.0, 0.48814, 2.07598]","[60.0, 0.0, 0.0]","[30.37867, 13.06694, -0.5134]","[30.47207, 13.5644, 0.92442]","[60.0011, 0.48661, 2.07698]","[91, 64, 73]","[145, 145, 145]","[147, 144, 141]","[93, 64, 71]","[147, 144, 141]","[91, 64, 73]","[93, 64, 71]","[145, 145, 145]",,,,,
train,103,0,apple1.png,512x512,368,1.51763443344,2,2,7.5P 9/2,1,4,1,train/trial_000103/initial.png,train/trial_000103/candT.png,train/trial_000103/candF.png,"[60.0, -5.27544, 3.82652]","[60.0, 0.0, 0.0]","[90.18132, 9.12384, -7.95376]","[90.00495, 1.48187, -2.51046]","[60.00108, -5.27681, 3.82746]","[238, 222, 242]","[145, 145, 145]","[138, 147, 138]","[227, 226, 231]","[138, 147, 138]","[238, 222, 242]","[227, 226, 231]","[145, 145, 145]",,,,,
